context,domain,block,n,prevalence,auroc,average_precision,brier,counts_auroc,delta_auroc_over_counts
isolated,planning,metadata+length,2817,0.8590699325523606,0.7574213626995857,0.9508426677550199,0.11047648480771109,0.7849012219747278,-0.02747985927514207
isolated,planning,+counts,2817,0.8590699325523606,0.7849012219747278,0.9551163007617516,0.10814564627154069,0.7849012219747278,0.0
isolated,planning,+coarse_timing,2817,0.8590699325523606,0.7899556591793826,0.9554825486000369,0.10680331243109532,0.7849012219747278,0.005054437204654816
isolated,planning,+within_family_motifs,2817,0.8590699325523606,0.7878104377875388,0.9555490843009543,0.1082118063305161,0.7849012219747278,0.0029092158128110057
isolated,planning,+cross_family_motifs,2817,0.8590699325523606,0.7909423985677707,0.9562061909708282,0.10680898925530949,0.7849012219747278,0.0060411765930429295
isolated,planning,+all_motifs,2817,0.8590699325523606,0.7941087078710161,0.9568498758897228,0.10668793283068763,0.7849012219747278,0.009207485896288281
isolated,moral,metadata+length,2902,0.5017229496898691,0.4766034665541927,0.494507099559439,0.2511014492287221,0.5252033366011581,-0.04859987004696542
isolated,moral,+counts,2902,0.5017229496898691,0.5252033366011581,0.5238165858220505,0.25050180776008346,0.5252033366011581,0.0
isolated,moral,+coarse_timing,2902,0.5017229496898691,0.5215251337528308,0.5222551897062008,0.2509486512705411,0.5252033366011581,-0.0036782028483273166
isolated,moral,+within_family_motifs,2902,0.5017229496898691,0.5205452612739957,0.5221348759867256,0.2511427711848255,0.5252033366011581,-0.0046580753271624475
isolated,moral,+cross_family_motifs,2902,0.5017229496898691,0.5332332561974679,0.5255856401830913,0.25039183400269754,0.5252033366011581,0.00802991959630972
isolated,moral,+all_motifs,2902,0.5017229496898691,0.5289223872600428,0.5239287252940734,0.25102327625053994,0.5252033366011581,0.0037190506588846706
isolated,idea,metadata+length,2496,0.7119391025641025,0.5909594313993596,0.768016271017592,0.20086931900821048,0.5896914914183161,0.0012679399810434644
isolated,idea,+counts,2496,0.7119391025641025,0.5896914914183161,0.7535541563333684,0.20170371804043893,0.5896914914183161,0.0
isolated,idea,+coarse_timing,2496,0.7119391025641025,0.5872088336282729,0.7539022119394333,0.20212057062880925,0.5896914914183161,-0.0024826577900431968
isolated,idea,+within_family_motifs,2496,0.7119391025641025,0.5992589595221901,0.7709664276707733,0.20075874927457876,0.5896914914183161,0.009567468103873988
isolated,idea,+cross_family_motifs,2496,0.7119391025641025,0.589289194411985,0.7574939406433654,0.20179283342810964,0.5896914914183161,-0.0004022970063310982
isolated,idea,+all_motifs,2496,0.7119391025641025,0.5968138703241778,0.7672321607597788,0.2012038153709476,0.5896914914183161,0.007122378905861648
isolated,safety,metadata+length,1594,0.9278544542032622,0.9423494135285299,0.9952868382045813,0.04496840156634301,0.9408060675544581,0.001543345974071797
isolated,safety,+counts,1594,0.9278544542032622,0.9408060675544581,0.9952551692851795,0.046372019726146636,0.9408060675544581,0.0
