family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_4b,qwen35_9b,overall,dialectical_amount,2223,-0.013660482156816093,-0.017632950213279302,-0.009555958195482836
Qwen,qwen35_4b,qwen35_9b,overall,control_amount,2223,0.0018564275582968943,-0.0014775710908097148,0.005277406118011921
Qwen,qwen35_4b,qwen35_9b,overall,dialectical_centroid,2212,0.002329279307789413,-0.0005738550544236797,0.005011714910254137
Qwen,qwen35_4b,qwen35_9b,overall,control_centroid,2215,0.008238717867702687,0.005330031020645509,0.011466419962561541
Qwen,qwen35_4b,qwen35_9b,overall,coupling_excess,2223,-0.00028963004985566433,-0.0018375176141597115,0.0014154590535207696
Qwen,qwen35_9b,qwen35_27b,math,dialectical_amount,393,-0.017898871580545764,-0.02648392914938904,-0.009303059883965103
Qwen,qwen35_9b,qwen35_27b,math,control_amount,393,0.008963764794973352,0.000931378646025686,0.016931988580903286
Qwen,qwen35_9b,qwen35_27b,math,dialectical_centroid,391,7.795566656225108e-05,-0.0075320124376026506,0.007339310150293697
Qwen,qwen35_9b,qwen35_27b,math,control_centroid,393,0.0019450595260260082,-0.004165270115098763,0.007765275962114863
Qwen,qwen35_9b,qwen35_27b,math,coupling_excess,393,-0.0035602251719221234,-0.007885062005074205,0.0013248031953286732
Qwen,qwen35_9b,qwen35_27b,code,dialectical_amount,122,-0.006595222102051423,-0.041961640803963925,0.02180199247912457
Qwen,qwen35_9b,qwen35_27b,code,control_amount,122,-0.017282316863353714,-0.03117873084156644,-0.0017295930569179846
Qwen,qwen35_9b,qwen35_27b,code,dialectical_centroid,121,0.00018217226345201523,-0.01874584330442435,0.021228809235353883
Qwen,qwen35_9b,qwen35_27b,code,control_centroid,122,-0.0067435952958332865,-0.02731835385487461,0.01338001315114908
Qwen,qwen35_9b,qwen35_27b,code,coupling_excess,122,0.0007696344604391339,-0.006052047536881636,0.008324495232583532
Qwen,qwen35_9b,qwen35_27b,gpqa,dialectical_amount,420,-0.03096659654920269,-0.03717272459067146,-0.023250014872867743
Qwen,qwen35_9b,qwen35_27b,gpqa,control_amount,420,0.007226293199235188,0.0024634014669240494,0.012843132097900643
Qwen,qwen35_9b,qwen35_27b,gpqa,dialectical_centroid,420,0.003484200377719207,-0.0005193665893269812,0.007459439191571841
Qwen,qwen35_9b,qwen35_27b,gpqa,control_centroid,420,0.010252505833936354,0.005927201647762183,0.014865540538735062
Qwen,qwen35_9b,qwen35_27b,gpqa,coupling_excess,420,-0.0022792997516508364,-0.0043616564554944835,-2.23792497173968e-05
