gen_model,model_label,signature_family,domain_a,domain_b,domain_pair,n,n_domain_a,n_domain_b,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,class_order,amount_q_value,timing_q_value,amount_supported,timing_supported
qwen35_9b,Qwen3.5 9B,cognitive,math,moral,Math – Moral,924,439,485,0.7507502994152596,0.989117723035014,0.9921236174060071,0.6655662540589632,0.6121796281638521,0.7201389561350864,0.000999000999000999,0.021496489927173384,0.0019754051307240275,0.037495878419806006,0.001998001998001998,math|moral,0.0012030979772915257,0.011188811188811189,True,True
qwen35_9b,Qwen3.5 9B,cognitive,math,idea,Math – Idea,783,439,344,0.6179345234941993,0.9999536472956508,0.9999139164062086,0.9247925166058348,0.905235706957952,0.9434452613782005,0.000999000999000999,0.00019070241958488808,-0.005750610894793285,0.0052761081446536925,0.4805194805194805,idea|math,0.0012030979772915257,0.6257928118393234,True,False
qwen35_9b,Qwen3.5 9B,cognitive,math,safety,Math – Safety,747,439,308,0.9239046830163004,0.9876416294411738,0.9891355796822767,0.2640471809562123,0.21236653773008962,0.31075629504560764,0.000999000999000999,0.012837738751692447,-0.0025091496094837543,0.027978644213036044,0.05094905094905095,math|safety,0.0012030979772915257,0.12495533663416876,True,False
qwen35_9b,Qwen3.5 9B,cognitive,math,security,Math – Security,742,439,303,0.6425043415503282,0.9365269100941985,0.9374666396024568,0.4785291330309579,0.4168107172529665,0.5388108240115976,0.000999000999000999,0.004786224723217072,-0.011846634863790284,0.02187653521578621,0.2907092907092907,math|security,0.0012030979772915257,0.433690203601708,True,False
qwen35_9b,Qwen3.5 9B,cognitive,code,gpqa,Code – GPQA,553,131,422,0.6728048912846858,0.7666509894721609,0.7771426504106219,0.020389464208403835,-0.02355110052939601,0.06057869468834522,0.23476523476523475,0.011538016410908151,-0.018085308774843933,0.04150505553397129,0.23276723276723277,code|gpqa,0.24883633716441286,0.37402597402597404,False,False
qwen35_9b,Qwen3.5 9B,cognitive,code,planning,Code – Planning,624,131,493,0.7776504652927241,0.9090627564529365,0.9084433984175402,0.17720130769676223,0.11285580888360199,0.23700038817463084,0.000999000999000999,-0.0012559602514261908,-0.021171266228832506,0.016952169509609826,0.5524475524475524,code|planning,0.0012030979772915257,0.6824352118469764,True,False
qwen35_9b,Qwen3.5 9B,cognitive,code,moral,Code – Moral,616,131,485,0.6334146533406784,0.9140788541748642,0.9592035885732274,0.30717720553968786,0.2289814869652925,0.3872035869282334,0.000999000999000999,0.0761747708868176,0.02459807467890687,0.13255138241814496,0.002997002997002997,code|moral,0.0012030979772915257,0.015734265734265736,True,True
qwen35_9b,Qwen3.5 9B,cognitive,code,idea,Code – Idea,475,131,344,0.6697807562577668,0.9957837741878217,0.9963607314042251,0.6557719822299326,0.5931798459643086,0.714326366297186,0.000999000999000999,-0.009622610222173918,-0.0278428325317129,0.008044064218536054,0.8201798201798202,code|idea,0.0012030979772915257,0.8832705755782678,True,False
qwen35_9b,Qwen3.5 9B,cognitive,code,safety,Code – Safety,439,131,308,0.8828194706057302,0.9251511846931694,0.9365767819966293,0.10785828963009554,0.03433619759454132,0.17494635214111606,0.000999000999000999,0.01202159473220718,-0.01784505669130627,0.03961704330003785,0.23076923076923078,code|safety,0.0012030979772915257,0.3727810650887574,True,False
qwen35_9b,Qwen3.5 9B,cognitive,code,security,Code – Security,434,131,303,0.6819590355982164,0.6909026780540649,0.7042299649812309,-0.012354477424755587,-0.0592998436142854,0.020270355831290002,0.6193806193806194,0.014623177967625746,-0.02447159873577079,0.05216736072161228,0.21578421578421578,code|security,0.6287368220902964,0.35892820051235896,False,False
