replicate,family_separation
475,-0.024029545096286194
476,0.018008688472798726
477,-0.026111077509079282
478,-0.04267382874495533
479,-0.024740693072878753
480,-0.032945426375413624
481,-0.016698606053226817
482,-0.030587887077413806
483,-0.02060031570432324
484,0.0038940252117049268
485,-0.020717182258586604
486,-0.04387912039305178
487,-0.03317222554689313
488,-0.028973704580049775
489,-0.018627809422537923
490,-0.024628349537512813
491,-0.0003535649863794718
492,-0.017187885936074544
493,0.014580235745000975
494,-0.0006084256920489417
495,-0.012444553861616484
496,-0.02385187628889008
497,0.0066555976751465976
498,-0.032096004474401016
499,-0.040367283602567514
500,-0.005230330240830208
501,-0.0007334949092724016
502,-0.016432884150558928
503,-0.012079298447941741
504,-0.009636966742025958
505,-0.021972512692066327
506,-0.02141875887642295
507,-0.0049907733244936026
508,-0.004956331093850554
509,0.011162912764393233
510,-0.002806658166578227
511,0.0025653221125963993
512,-0.04210290568978139
513,0.005661342359933805
514,-0.02383828169195984
515,-0.03408479150752455
516,-0.014983204505652867
517,-0.024380676354532504
518,-0.014907599132813226
519,0.007902029189438484
520,-0.01773909788660427
521,-0.014874762223954084
522,-0.05039410400898871
523,-0.025021487707042246
524,-0.009224266619002323
525,-0.0388353089906668
526,0.0007205617711877055
527,0.015304952761865304
528,-0.04905113213792398
529,0.010235398970088475
530,-0.025029272087595852
531,0.005580393599905364
532,-0.006522517194638422
533,-0.02050277147761592
534,-0.03409214419243967
535,0.000759291738421191
536,-0.031618162136371204
537,-0.029236836669485327
538,0.0010766486985918228
539,-0.027983481988482217
540,-0.026069639261863745
541,-0.041237925018033514
542,-0.005935366644180304
543,-0.008031958302726683
544,-0.02085594823145972
545,-0.009177477010996533
546,-0.011356902690513447
547,-0.024729966982869528
548,0.0031959087614931297
549,0.003009759927291328
550,-0.003978561297478089
551,-0.0074628813369563285
552,0.005497232632685471
553,-0.005791723117630064
554,-0.007188269576117123
555,-0.02471736460696307
556,-0.019233389361069754
557,-0.019992002260418033
558,-0.020361213142761132
559,-0.013445635960799937
560,-0.026869142421595035
561,-0.017923703618907327
562,0.023405256845182028
563,-0.02521777266378714
564,-0.012631752663684156
565,0.005952233826843213
566,-0.02662708834939397
567,-0.015788843237450646
568,-0.028547294596399306
569,0.006494052327839117
570,-0.026597880803991364
571,-0.05253720776586132
572,-0.03574843218210617
573,-0.0027887057953212557
574,-0.004036040132483508
575,0.0003304145714316947
576,-0.023921933172086587
577,0.002725560838400129
578,-0.0019709190081500794
579,-0.015156985734243636
580,-0.012649176492959553
581,-0.012818355138628203
582,-0.03054151834233696
583,-0.022249767037221924
584,-0.05596270530436683
585,-0.005464443530880672
586,-0.009293192754788779
587,-0.02780193142741841
588,-0.006007587928755484
589,-0.018262095025216214
590,-0.014983664724252624
591,-0.003626763824799359
592,-0.011926499043905865
593,0.004626387653080717
594,-0.027601719187347884
595,-0.011225524348088656
596,0.0015829642632714871
597,-0.01771795352380323
598,-0.04303748912315791
599,-0.007752393127873729
600,0.0003323012012136847
601,-0.01698523065301419
602,-0.016508834254844465
603,0.007287399598584911
604,-0.017519851707882943
605,0.006132488890922799
606,-0.008586975267784576
607,-0.013176514793704228
608,-0.029987425792322005
609,-0.02524216708762416
610,-0.033184645006190755
611,-0.021266067403092115
612,-0.029090805322485938
613,-0.02882453720552477
614,-0.042126806333005994
615,-0.05241579165471329
616,-0.01602916908214151
617,-0.008574897619472575
618,-0.015421785334212096
619,-0.017634805412393536
620,-0.03786822315588763
621,-0.04303947291050942
