task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
safety,dialectical,gemma4_31b,qwen35_9b,0.19148350005281714,0.2883668551673306,0.18039250404682472,0.23387931897884218,200
safety,executive,gemma4_31b,qwen35_9b,0.3676317168930639,0.6470307261413861,0.3258720844749757,0.4198414601137286,200
safety,dialectical,gemma4_31b,qwen35_27b,0.18805835541774668,0.31171461762185226,0.16981378889068918,0.23715223876664132,200
safety,executive,gemma4_31b,qwen35_27b,0.35934537898077495,0.6802988965461944,0.32398441237206255,0.4247175821039166,200
safety,dialectical,qwen35_4b,qwen35_9b,0.03470211864501105,0.0593037606225022,0.03913454275391404,0.07089921861658229,200
safety,executive,qwen35_4b,qwen35_9b,0.05343062897439934,0.3383657852919921,0.045927601504183,0.09050155447512964,200
safety,dialectical,qwen35_4b,qwen35_27b,0.058012301797875136,0.15268356112891324,0.05565105736946576,0.08853011497329899,200
safety,executive,qwen35_4b,qwen35_27b,0.07320909717762895,0.395613633805436,0.06439546178044787,0.10354760532885524,200
safety,dialectical,qwen35_9b,qwen35_27b,0.04670997112618409,0.09704792980968846,0.04259488951082506,0.08092055735296402,200
safety,executive,qwen35_9b,qwen35_27b,0.056262822612109104,0.2251436660003906,0.05030208851522724,0.09020925313254104,200
security,dialectical,reasoner,gemma4_e4b,0.052712194794025814,0.058288106010036644,0.04917077107945627,0.07765704948290039,200
security,executive,reasoner,gemma4_e4b,0.12555494576810122,0.5461499654977333,0.11105123009290441,0.16483274863538505,200
security,dialectical,reasoner,gemma4_31b,0.08088345591424388,0.14956875809077208,0.06836391447268922,0.10168660005163915,200
security,executive,reasoner,gemma4_31b,0.18521117310585558,1.2520392805112341,0.16268672637721945,0.21588659674618357,200
security,dialectical,reasoner,qwen35_4b,0.15370957952096206,0.8525105987883796,0.14231455359677314,0.17266605525516987,200
security,executive,reasoner,qwen35_4b,0.10720434912138418,1.0994211262527003,0.09117194276590738,0.14419508744942425,200
security,dialectical,reasoner,qwen35_9b,0.1504917974679073,0.7592622288015317,0.1355992965020624,0.16709154623807482,200
security,executive,reasoner,qwen35_9b,0.11507498355838795,1.1849158307490193,0.09758791248079951,0.1513933492769138,200
security,dialectical,reasoner,qwen35_27b,0.1326256844796781,0.4161012791865335,0.12106958630669303,0.1503667724210016,200
security,executive,reasoner,qwen35_27b,0.13261165587378745,1.3952454285407687,0.11640231487483071,0.1656526304109983,200
security,dialectical,gemma4_e4b,gemma4_31b,0.09332994645502322,0.22308943444318752,0.08407814831586072,0.11712205218408309,200
security,executive,gemma4_e4b,gemma4_31b,0.15554449802123677,0.6890585059201066,0.13876018115514177,0.1810852842318674,200
security,dialectical,gemma4_e4b,qwen35_4b,0.15713408473388174,0.9551161281262933,0.14306938010704706,0.17707567657126885,200
security,executive,gemma4_e4b,qwen35_4b,0.12104678135171994,0.4148356596345232,0.11013998400887935,0.13970262417552873,200
security,dialectical,gemma4_e4b,qwen35_9b,0.1548644344002307,0.9044399385186914,0.13850727302300106,0.1725158548986147,200
security,executive,gemma4_e4b,qwen35_9b,0.11501230018187467,0.40825927931738537,0.10492004471189169,0.13230390738504288,200
security,dialectical,gemma4_e4b,qwen35_27b,0.13910188945650434,0.5663720061040809,0.12972477039928132,0.15882997097950116,200
