split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
random_trace,0.75,time_shuffled,counts,-0.00017327150276547076,-0.00045853438427773395,5.160508464208394e-05,4.875462449116519e-05,-0.00127251258865205,0.0014533925986116773,0.00029074147342519896,5.962278263873383e-05
random_trace,0.75,temporal,time_shuffled,-0.021020569151288915,-0.0425444223351496,-0.004393449273635834,-0.0030114478510114284,-0.0504568313422347,0.048334063820861695,0.015983137632300415,0.0008264993552161148
prompt_disjoint,1.0,length,metadata,0.018793118385474372,0.012905982111850442,0.025323115990819774,0.09919436124418324,0.05268899420976222,0.1504728363203418,-0.003777976830472679,-0.0017286822949812292
prompt_disjoint,1.0,counts,length,0.0032192021303275586,-0.0032296467405860396,0.009302900255378312,0.006886250075320177,-0.04302283917446218,0.0528899679888441,-0.0014749527864707235,-0.0005349623907207196
prompt_disjoint,1.0,temporal,counts,-0.009917513645130938,-0.021089925841268863,0.0006177445792778678,-0.01288789671334406,-0.06368376721489082,0.03357040138847829,0.017051588841662912,0.0023593125730610176
prompt_disjoint,1.0,time_shuffled,counts,-4.559776388568526e-05,-0.00022637656292040785,0.0001714972869428177,-0.00036219060080555643,-0.0024240336753078807,0.0016356962267201412,0.00010961955958613268,3.786746615506292e-05
prompt_disjoint,1.0,temporal,time_shuffled,-0.009871915881245252,-0.022481095927649176,-0.00022019991484218565,-0.012525706112538504,-0.059987530418603614,0.037558151200950345,0.01694196928207678,0.0023214451069059547
random_trace,1.0,length,metadata,0.01651323019119144,0.01047321044570619,0.023335426329592835,0.0888519375100113,0.036366342114109586,0.14078641646705617,-0.005819159158114373,-0.0018728566148544096
random_trace,1.0,counts,length,0.001997182058191882,-0.003442103730176582,0.007419875641067364,0.004474912746589399,-0.04455088292108047,0.053480714645756426,0.001444522409644211,0.0001179372828319647
random_trace,1.0,temporal,counts,-0.012115325864419546,-0.024339518203526582,-0.0009946751530242703,-0.03126690545598931,-0.08286427293332875,0.015378857661925361,0.011950837080912685,0.0025569279865893246
