split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
random_trace,0.75,length,metadata,-0.00013985458077336865,-0.0003649795031507308,6.38319285833161e-05,0.00011580018024437422,9.858688326508395e-07,0.00022911125641930373,3.570000045338695e-05,3.712301034008991e-05
random_trace,0.75,counts,length,0.01160724099861088,0.008700947282054696,0.014369080176257465,0.007982335501016902,0.006294263284303889,0.009756012306681532,-0.006515975348498904,-0.0024565312622697733
random_trace,0.75,temporal,counts,0.000255134059740203,-0.0009991491484997838,0.001490045834140391,-0.0005704151476528807,-0.0018796763441810888,0.0004174596619531123,0.0001088041568627629,1.0683051772153451e-05
random_trace,0.75,time_shuffled,counts,4.529065236180685e-07,-1.7501408091424863e-06,2.590146612238552e-06,-1.4135381221080934e-07,-1.427775982240642e-06,1.140471658966912e-06,2.0557013780120315e-07,1.468911189905775e-07
random_trace,0.75,temporal,time_shuffled,0.0002546811532165849,-0.0010430169391282829,0.0015288454144230799,-0.0005702737938406699,-0.0019152563399150724,0.0004617311068298517,0.0001085985867249617,1.0536160653162874e-05
prompt_disjoint,1.0,length,metadata,-0.00016270174573407292,-0.00037867751308480745,5.197558092833167e-05,-4.5081136144098366e-05,-0.00017419207451626617,0.0001857687379270695,5.9536218687261666e-05,4.796706781773352e-05
prompt_disjoint,1.0,counts,length,0.01589649223109746,0.012802545094258978,0.01924254565010021,0.010580153727860253,0.008496963133889295,0.012697689563733341,-0.009198809502219407,-0.0035082581662536083
prompt_disjoint,1.0,temporal,counts,0.001296587688039419,-9.775019636964754e-05,0.002508298576376694,0.0002742761256552262,-0.00047288048555899076,0.0010361890421379748,-0.000633319726037529,-0.0003130697118834125
prompt_disjoint,1.0,time_shuffled,counts,2.0676167389321876e-07,-1.9633780682787316e-06,2.57042954952269e-06,1.4737164444333928e-07,-1.5045812274822046e-06,1.7081602420726536e-06,2.788304230838534e-07,1.8861986586515833e-07
prompt_disjoint,1.0,temporal,time_shuffled,0.0012963809263655257,-0.00011674994052294773,0.0027250869593425093,0.00027412875401078285,-0.0005227827046250827,0.001115831528043498,-0.0006335985564606128,-0.00031325833174927764
random_trace,1.0,length,metadata,-0.00013910137753281315,-0.00034702176692011366,5.423529966698253e-05,0.00011578756384311717,9.770167107803208e-06,0.00022299892365309216,3.579664034469854e-05,3.712771209382626e-05
