gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Perspective_Shift,Perspective shift,398,0.14298396773672328,0.08315657913274926,0.19371711387049248,0.000999000999000999,bits per held-out trace,-0.23237490294575516,-0.30861979249498983,-0.1563641550473454,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Conflict_of_Perspectives,Perspective conflict,398,0.003514735021743227,-0.024421125333901225,0.03153143451370291,0.4225774225774226,bits per held-out trace,-0.011380088119667921,-0.11919728188535518,0.0938211005397711,standardized rate difference: domain minus other domains,0.4545370595790764,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Reconciliation,Reconciliation,398,0.05170643005852731,0.015299056806029785,0.08558599466660799,0.002997002997002997,bits per held-out trace,-0.1779937961781508,-0.25061960644083087,-0.0951541037182053,standardized rate difference: domain minus other domains,0.004392554010874622,True
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,timing,Question_and_Answering,Question–answer,398,0.0035773176215803015,-0.014503869372916041,0.022149297073460635,0.3836163836163836,bits per held-out trace,-0.021782613364399017,-0.06124409713989932,0.01662113807863444,conditional timing centroid difference: positive means later,0.520525410984775,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,timing,Perspective_Shift,Perspective shift,398,0.059855136816715275,0.01343814862569392,0.10144686200644111,0.008991008991008992,bits per held-out trace,0.055612732952352584,0.0420917950051994,0.07022210043124877,conditional timing centroid difference: positive means later,0.03752768970160275,True
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,timing,Conflict_of_Perspectives,Perspective conflict,398,0.007422137720798878,-0.00773161501613874,0.021528068058783694,0.1798201798201798,bits per held-out trace,0.0864103018128568,0.06569652466833818,0.10695666144922862,conditional timing centroid difference: positive means later,0.311040311040311,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,timing,Reconciliation,Reconciliation,398,0.03905314953655049,0.0028027459658853267,0.07694753723817352,0.03196803196803197,bits per held-out trace,0.0829557833118576,0.06014221637144016,0.10572053340043495,conditional timing centroid difference: positive means later,0.09516065330018818,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,verification,Verification,498,0.4806156455774755,0.4156734499688923,0.5414092995213022,0.000999000999000999,bits per held-out trace,0.42372575040114796,0.31713014823877106,0.5282585997467322,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,backtracking,Backtracking,498,0.11561615229776086,0.08454929599876802,0.14581586571708754,0.000999000999000999,bits per held-out trace,-0.3935599101557092,-0.4573930096442847,-0.3270247310129215,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,subgoal,Subgoal setting,498,0.019157899603472486,-0.043401273655351576,0.0750312769137612,0.2827172827172827,bits per held-out trace,0.7841440655278749,0.6074059512875342,0.9605780411955621,standardized rate difference: domain minus other domains,0.31107001880640844,False
