gen_model,family,profile,distance
reasoner,dialectical,amount,0.004635094424373634
reasoner,dialectical,amount,0.03006765867673294
reasoner,dialectical,amount,0.012601946950762345
reasoner,dialectical,amount,0.005314560554100323
reasoner,dialectical,amount,0.016419252762779876
reasoner,dialectical,amount,0.0070058709137518
reasoner,dialectical,amount,0.013826857335751994
reasoner,dialectical,amount,0.009615769812234684
reasoner,dialectical,amount,0.015257303571594284
reasoner,dialectical,amount,0.018825908659633
reasoner,dialectical,amount,0.0056832826162921644
reasoner,dialectical,amount,0.016653944935344812
reasoner,dialectical,amount,0.004119174189956902
reasoner,dialectical,amount,0.009214885747272783
reasoner,dialectical,amount,0.014595146353788679
reasoner,dialectical,amount,0.005003399356552669
reasoner,dialectical,amount,0.01707916999107288
reasoner,dialectical,amount,0.02220543861703729
reasoner,dialectical,amount,0.008500685226173131
reasoner,dialectical,amount,0.010570910525831114
reasoner,dialectical,amount,0.014922093293249866
reasoner,dialectical,amount,0.021261826241665366
reasoner,dialectical,amount,0.010358143500001535
reasoner,dialectical,amount,0.007379580642160272
reasoner,dialectical,amount,0.02258505098320326
reasoner,dialectical,amount,0.015095919443866148
reasoner,dialectical,amount,0.012077802224699513
reasoner,dialectical,amount,0.024932039057079785
reasoner,dialectical,amount,0.008947994692216663
reasoner,dialectical,amount,0.01984423434969056
reasoner,dialectical,amount,0.01042506804597813
reasoner,dialectical,amount,0.02708368467137293
reasoner,dialectical,amount,0.01893408847359177
reasoner,dialectical,amount,0.00523978053387454
reasoner,dialectical,amount,0.009807478753328465
reasoner,dialectical,amount,0.008039220271897516
reasoner,dialectical,amount,0.026850389119973502
reasoner,dialectical,amount,0.008930174364222155
reasoner,dialectical,amount,0.005019124290789367
reasoner,dialectical,amount,0.006656103770911475
reasoner,dialectical,amount,0.0185812021454363
reasoner,dialectical,amount,0.00807554114443135
reasoner,dialectical,amount,0.0034838075793341733
reasoner,dialectical,amount,0.014942948854531875
reasoner,dialectical,amount,0.009652508633411883
reasoner,dialectical,amount,0.01690574712219287
reasoner,dialectical,amount,0.016516020951556267
reasoner,dialectical,amount,0.007671057407445174
reasoner,dialectical,amount,0.025594258273618185
reasoner,dialectical,amount,0.009879204001486177
reasoner,dialectical,amount,0.0035371011444137435
reasoner,dialectical,amount,0.01583442373869554
reasoner,dialectical,amount,0.011568161067115407
reasoner,dialectical,amount,0.009001996340972422
reasoner,dialectical,amount,0.01553011813861118
reasoner,dialectical,amount,0.013253226112291301
reasoner,dialectical,amount,0.012236970910232388
reasoner,dialectical,amount,0.011343712753685214
reasoner,dialectical,amount,0.0067201962703843125
reasoner,dialectical,amount,0.00923126565273625
reasoner,dialectical,amount,0.010063571385634023
reasoner,dialectical,amount,0.004720075397230181
reasoner,dialectical,amount,0.00841792193743647
reasoner,dialectical,amount,0.013369755700924078
reasoner,dialectical,amount,0.00811842975607192
reasoner,dialectical,amount,0.016549062659176543
reasoner,dialectical,amount,0.0196110657161121
reasoner,dialectical,amount,0.008452034765487329
reasoner,dialectical,amount,0.014578673503149583
reasoner,dialectical,amount,0.016714834150755736
reasoner,dialectical,amount,0.015229667242725241
reasoner,dialectical,amount,0.016432262112658528
reasoner,dialectical,amount,0.007083746629753405
reasoner,dialectical,amount,0.0050681695486947
reasoner,dialectical,amount,0.00867004751812387
reasoner,dialectical,amount,0.005769860984307324
reasoner,dialectical,amount,0.015232323956003407
reasoner,dialectical,amount,0.008373846986586737
reasoner,dialectical,amount,0.01979381591411204
reasoner,dialectical,amount,0.011007222213397788
reasoner,dialectical,amount,0.004486964489315959
reasoner,dialectical,amount,0.014317378439316542
reasoner,dialectical,amount,0.011719311876959947
reasoner,dialectical,amount,0.015366054434874524
reasoner,dialectical,amount,0.0077583113627721495
reasoner,dialectical,amount,0.0073656831445561765
reasoner,dialectical,amount,0.01563824815758653
reasoner,dialectical,amount,0.009872213806942701
reasoner,dialectical,amount,0.011561114449147489
reasoner,dialectical,amount,0.01971797859655157
reasoner,dialectical,amount,0.011888027409449844
reasoner,dialectical,amount,0.006293096294913031
reasoner,dialectical,amount,0.011217797866822357
reasoner,dialectical,amount,0.016660048048247042
reasoner,dialectical,amount,0.011610876513873712
reasoner,dialectical,amount,0.003958916968130132
reasoner,dialectical,amount,0.015722977552839343
reasoner,dialectical,amount,0.012446919987751784
reasoner,dialectical,amount,0.01913710087504134
reasoner,dialectical,amount,0.011656803356004584
reasoner,dialectical,amount,0.020509745224132823
reasoner,dialectical,amount,0.016139109695962862
reasoner,dialectical,amount,0.011216948286247058
reasoner,dialectical,amount,0.011071306823834635
reasoner,dialectical,amount,0.0102013170907484
reasoner,dialectical,amount,0.00709140435934639
reasoner,dialectical,amount,0.009267910074302584
reasoner,dialectical,amount,0.006578165893092959
reasoner,dialectical,amount,0.014845895979795038
reasoner,dialectical,amount,0.01607114367069277
reasoner,dialectical,amount,0.010817527750802728
reasoner,dialectical,amount,0.011549435859408671
reasoner,dialectical,amount,0.013116535260367738
reasoner,dialectical,amount,0.0059825480609434715
reasoner,dialectical,amount,0.016250769881358446
reasoner,dialectical,amount,0.024489578028106786
reasoner,dialectical,amount,0.0037093687229667305
