split,prefix,feature_set,feature,coef
random_trace,0.5,metadata,difficulty_raw=easy,0.1685846241362428
random_trace,0.5,metadata,task_type=planning,0.16153104107885896
random_trace,0.5,metadata,difficulty_raw=progression_mcq,0.1150043237522543
random_trace,0.5,metadata,difficulty_raw=Biology,0.092186486097245
random_trace,0.5,metadata,difficulty_raw=medium,-0.08959315060601154
random_trace,0.5,metadata,difficulty_raw=applicable_actions_mc,0.08399048301579116
random_trace,0.5,metadata,difficulty_raw=4,0.08251481639937804
random_trace,0.5,metadata,difficulty_raw=landmarks_mcq,0.07319490757039468
random_trace,0.5,metadata,difficulty_raw=3,0.06445517516606743
random_trace,0.5,metadata,difficulty_raw=reachable_atom_mc,0.057105079521989593
random_trace,0.5,length,task_type=math,-0.5373087797605272
random_trace,0.5,length,gen_model=qwen35_27b,0.45644098898555585
random_trace,0.5,length,gen_model=qwen35_9b,0.39039245835968267
random_trace,0.5,length,gen_model=qwen35_4b,0.354666273729974
random_trace,0.5,length,task_type=idea,0.30158523314543423
random_trace,0.5,length,gen_model=reasoner,0.292285838942556
random_trace,0.5,length,difficulty_raw=hard,-0.2717896229808433
random_trace,0.5,length,difficulty_raw=__missing__,0.26722035665911925
random_trace,0.5,length,task_type=gpqa,0.2229452986154876
random_trace,0.5,length,difficulty_raw=Physics,0.2031591533560982
random_trace,0.5,length,task_type=planning,0.1689176537550598
random_trace,0.5,length,difficulty_raw=easy,0.16093232534955534
random_trace,0.5,length,prefix_segments,-0.1534882110045824
random_trace,0.5,length,difficulty_raw=progression_mcq,0.1094177012436336
random_trace,0.5,length,difficulty_raw=4,0.0935565967249533
random_trace,0.5,length,difficulty_raw=medium,-0.08690598962467515
random_trace,0.5,length,difficulty_raw=Biology,0.08596342667392638
random_trace,0.5,length,difficulty_raw=applicable_actions_mc,0.08375908414037504
random_trace,0.5,length,difficulty_raw=landmarks_mcq,0.08223069735956207
random_trace,0.5,length,difficulty_raw=3,0.0712388880177096
random_trace,0.5,counts,task_type=math,-0.5725735408659219
random_trace,0.5,counts,gen_model=reasoner,0.4401733219327108
random_trace,0.5,counts,gen_model=qwen35_27b,0.4277962443377056
random_trace,0.5,counts,gen_model=qwen35_9b,0.37361855059717236
random_trace,0.5,counts,gen_model=qwen35_4b,0.3464918547588137
random_trace,0.5,counts,task_type=idea,0.3067719817152654
random_trace,0.5,counts,difficulty_raw=__missing__,0.2754803027345201
random_trace,0.5,counts,task_type=gpqa,0.2651293245256374
random_trace,0.5,counts,difficulty_raw=hard,-0.259489724844942
random_trace,0.5,counts,rate_Conflict_of_Perspectives,-0.24009219493647083
random_trace,0.5,counts,difficulty_raw=Physics,0.22401339634199097
random_trace,0.5,counts,difficulty_raw=easy,0.15995864726776407
