gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
gemma4_e4b,Gemma 4 E4B,idea,conversational,365,135,0,500,estimated,0.5316692034500253,0.5456113647894469,0.5494875697615423,-0.0034484710049576327,-0.02074698001209825,0.014430238387376657,0.6243756243756243,-0.008180557436835547,-0.03068208913189979,0.013774966881338755,0.7582417582417582,0.9293040293040293,1.0,False,False
gemma4_e4b,Gemma 4 E4B,idea,cognitive,365,135,0,500,estimated,0.5316692034500253,0.5360121765601218,0.5184779299847793,-0.006413545615775965,-0.020356196966066404,0.007277447099657431,0.7672327672327672,-0.017085592146036343,-0.03394566784882167,0.0007978997174802984,0.9590409590409591,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,math,conversational,271,214,0,485,estimated,0.5277787357312825,0.5349863779011622,0.535538159119909,-0.006060306385588654,-0.022633618232496686,0.007774995823757228,0.7872127872127872,-0.012837646432844267,-0.03928218759545447,0.010848998431768201,0.8521478521478522,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,math,cognitive,271,214,0,485,estimated,0.5277787357312825,0.4975859571679829,0.4901196675518157,-0.011738590699980716,-0.022384352860308928,-0.0011187805538935885,0.98001998001998,-0.021686967782573955,-0.04301956194632177,-0.0028084907140652738,0.978021978021978,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,moral,conversational,250,250,0,500,estimated,0.427992,0.538168,0.539,-0.0010857011395319042,-0.02341273015451624,0.02156191721300345,0.5284715284715285,-0.01672837808998203,-0.039351515543135845,0.004339573652104338,0.932067932067932,0.90125560713796,1.0,False,False
gemma4_e4b,Gemma 4 E4B,moral,cognitive,250,250,0,500,estimated,0.427992,0.479464,0.517608,-0.010867265062649647,-0.02662847498351479,0.004124727910349335,0.935064935064935,-0.004978751081730298,-0.026605300536595468,0.018204709788954183,0.6593406593406593,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,planning,conversational,408,80,0,488,estimated,0.761734068627451,0.7566176470588235,0.7927389705882353,0.003932834149137697,-0.017917350046117535,0.02433657265953179,0.3706293706293706,0.035085577379023326,-0.002432128981315098,0.06745144105781936,0.023976023976023976,0.8259467804922351,1.0,False,False
gemma4_e4b,Gemma 4 E4B,planning,cognitive,408,80,0,488,estimated,0.761734068627451,0.7608149509803922,0.7786458333333334,0.012312174315489676,-0.015091679876229114,0.03929096546693323,0.1798201798201798,0.01881720576878406,-0.0182643627532579,0.05364990369212118,0.16183816183816183,0.5421475076647491,1.0,False,False
gemma4_e4b,Gemma 4 E4B,safety,conversational,54,3,0,57,insufficient_high_low_support,,,,,,,,,,,,,,False,False
gemma4_e4b,Gemma 4 E4B,safety,cognitive,54,3,0,57,insufficient_high_low_support,,,,,,,,,,,,,,False,False
gemma4_e4b,Gemma 4 E4B,security,conversational,288,184,0,472,estimated,0.6015813707729468,0.6303592995169082,0.6169233091787439,0.003182626808912396,-0.023160160747294056,0.028323773389747127,0.4155844155844156,-0.01198763191235154,-0.03356939983293122,0.007249435397193594,0.8921078921078921,0.8259467804922351,1.0,False,False
